time,distance,body1_vx,body1_vy,body2_vx,body2_vy
1.01,5465385.21,0.25,-0.18,-0.25,-0.08
2.03,7752469.16,-0.19,-0.11,0.19,-0.15
3.04,9878069.34,0.02,0.0,-0.02,-0.26
4.06,4862839.77,0.27,-0.22,-0.27,-0.04
5.07,8161478.15,-0.18,-0.1,0.18,-0.16
6.09,9758313.22,0.03,0.0,-0.03,-0.26
7.1,4277341.08,0.28,-0.27,-0.28,0.01
8.12,8527300.81,-0.17,-0.09,0.17,-0.17
9.13,9600308.72,0.04,0.0,-0.04,-0.26
10.15,3774813.74,0.28,-0.33,-0.28,0.08
11.16,8850790.57,-0.16,-0.09,0.16,-0.17
12.18,9403481.0,0.04,0.01,-0.04,-0.26
13.19,3461005.29,0.24,-0.41,-0.24,0.16
14.21,9132893.78,-0.15,-0.08,0.15,-0.18
15.22,9167125.33,0.05,0.01,-0.05,-0.27
16.24,3439912.1,0.16,-0.48,-0.16,0.22
17.25,9374531.62,-0.14,-0.08,0.14,-0.18
18.26,8890420.03,0.06,0.01,-0.06,-0.27
19.28,3719891.98,0.05,-0.5,-0.05,0.24
20.29,9576539.8,-0.13,-0.07,0.13,-0.19
21.31,8572453.24,0.07,0.02,-0.07,-0.28
22.32,4204272.45,-0.03,-0.47,0.03,0.21
23.34,9739639.02,-0.12,-0.07,0.12,-0.19
24.35,8212277.34,0.08,0.02,-0.08,-0.28
25.37,4783462.05,-0.09,-0.43,0.09,0.17
26.38,9864421.27,-0.12,-0.06,0.12,-0.2
27.4,7809016.5,0.1,0.03,-0.1,-0.28
28.41,5386229.12,-0.11,-0.39,0.11,0.13
29.43,9951343.71,-0.11,-0.06,0.11,-0.2
30.44,7362074.7,0.11,0.03,-0.11,-0.29
31.46,5975320.22,-0.13,-0.35,0.13,0.09
32.47,10000726.17,-0.11,-0.05,0.11,-0.2
33.49,6871536.81,0.13,0.04,-0.13,-0.29
34.5,6532875.44,-0.14,-0.32,0.14,0.07
35.51,10012750.43,-0.1,-0.05,0.1,-0.21
36.53,6338952.7,0.15,0.04,-0.15,-0.3
37.54,7050835.73,-0.14,-0.3,0.14,0.04
38.56,9987460.43,-0.1,-0.04,0.1,-0.22
39.57,5768901.86,0.18,0.04,-0.18,-0.3
40.59,7525954.64,-0.14,-0.28,0.14,0.02
41.6,9924762.6,-0.09,-0.04,0.09,-0.22
42.62,5172164.91,0.21,0.04,-0.21,-0.3
43.63,7957332.12,-0.14,-0.26,0.14,0.0
44.65,9824426.14,-0.09,-0.03,0.09,-0.23
45.66,4572088.81,0.26,0.02,-0.26,-0.28
46.68,8345190.74,-0.13,-0.25,0.13,-0.01
47.69,9686083.1,-0.09,-0.02,0.09,-0.23
48.71,4016237.63,0.31,-0.01,-0.31,-0.25
